ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence
Christ College ATM,07-05-2011,59,34,25,282700,164200,118500,Saturday,NH,H,WHH
Christ College ATM,08-05-2011,35,15,20,130900,71700,59200,Sunday,NH,H,HHW
Christ College ATM,09-05-2011,57,35,22,258200,187800,70400,Monday,NH,W,HWW
Christ College ATM,10-05-2011,52,36,16,260700,193900,66800,Tuesday,NH,W,WWW
Christ College ATM,11-05-2011,63,44,19,287700,228800,58900,Wednesday,NH,W,WWW
Christ College ATM,12-05-2011,57,25,32,201200,87800,113400,Thursday,NH,W,WWW
Christ College ATM,13-05-2011,42,27,15,141900,63600,78300,Friday,NH,W,WWH
Christ College ATM,14-05-2011,79,49,30,302700,190500,112200,Saturday,NH,H,WHH
Christ College ATM,15-05-2011,51,29,22,174300,80200,94100,Sunday,NH,H,HHW
Christ College ATM,16-05-2011,57,35,22,174000,124600,49400,Monday,NH,W,HWH
Christ College ATM,17-05-2011,68,43,25,267500,206000,61500,Tuesday,H,H,WHW
Christ College ATM,18-05-2011,46,32,14,150200,116700,33500,Wednesday,NH,W,HWW
Christ College ATM,19-05-2011,53,22,31,224400,116100,108300,Thursday,NH,W,WWW
Christ College ATM,20-05-2011,88,42,46,376600,219000,157600,Friday,NH,W,WWH
Christ College ATM,21-05-2011,59,31,28,160000,85000,75000,Saturday,NH,H,WHH
Christ College ATM,22-05-2011,65,23,42,221000,43600,177400,Sunday,NH,H,HHW
Christ College ATM,23-05-2011,57,35,22,201200,143400,57800,Monday,NH,W,HWW
Christ College ATM,24-05-2011,70,38,32,274600,166800,107800,Tuesday,NH,W,WWW
Christ College ATM,25-05-2011,74,38,36,309200,146100,163100,Wednesday,NH,W,WWW
Christ College ATM,26-05-2011,113,37,76,532800,141700,391100,Thursday,NH,W,WWW
Christ College ATM,27-05-2011,105,41,64,444700,138200,306500,Friday,NH,W,WWH
Christ College ATM,28-05-2011,64,35,29,300400,183100,117300,Saturday,NH,H,WHH
Christ College ATM,29-05-2011,37,19,18,170000,114500,55500,Sunday,NH,H,HHW
Christ College ATM,30-05-2011,71,44,27,355100,218200,136900,Monday,NH,W,HWW
Christ College ATM,31-05-2011,68,37,31,346600,200300,146300,Tuesday,NH,W,WWW
Christ College ATM,01-06-2011,78,40,38,261600,93700,167900,Wednesday,NH,W,WWW
Christ College ATM,02-06-2011,96,23,73,474600,152900,321700,Thursday,NH,W,WWW
Christ College ATM,03-06-2011,84,29,55,423600,174400,249200,Friday,NH,W,WWH
Christ College ATM,04-06-2011,127,52,75,554100,186300,367800,Saturday,NH,H,WHH
Christ College ATM,05-06-2011,90,23,67,392000,90000,302000,Sunday,NH,H,HHW
Christ College ATM,06-06-2011,71,35,36,264200,153000,111200,Monday,NH,W,HWW
Christ College ATM,07-06-2011,86,48,38,381700,199400,182300,Tuesday,NH,W,WWW
Christ College ATM,08-06-2011,92,40,52,399400,164400,235000,Wednesday,NH,W,WWW
Christ College ATM,09-06-2011,51,23,28,182700,84800,97900,Thursday,NH,W,WWW
Christ College ATM,10-06-2011,98,39,59,421000,139500,281500,Friday,NH,W,WWH
Christ College ATM,11-06-2011,91,28,63,341500,78200,263300,Saturday,NH,H,WHH
Christ College ATM,12-06-2011,80,22,58,254700,73500,181200,Sunday,NH,H,HHW
Christ College ATM,13-06-2011,130,53,77,406000,146200,259800,Monday,NH,W,HWW
Christ College ATM,14-06-2011,144,41,103,657200,205100,452100,Tuesday,NH,W,WWW
Christ College ATM,15-06-2011,96,44,52,378600,181400,197200,Wednesday,NH,W,WWW
Christ College ATM,16-06-2011,60,38,22,289900,212300,77600,Thursday,NH,W,WWW
Christ College ATM,17-06-2011,55,38,17,259300,167700,91600,Friday,NH,W,WWH
Christ College ATM,18-06-2011,81,51,30,248600,174000,74600,Saturday,NH,H,WHH
Christ College ATM,19-06-2011,81,34,47,292100,102600,189500,Sunday,NH,H,HHW
Christ College ATM,20-06-2011,79,49,30,370200,259100,111100,Monday,NH,W,HWW
Christ College ATM,21-06-2011,80,39,41,401100,208500,192600,Tuesday,NH,W,WWW
Christ College ATM,22-06-2011,74,45,29,351200,207000,144200,Wednesday,NH,W,WWW
Christ College ATM,23-06-2011,57,33,24,199500,135100,64400,Thursday,NH,W,WWW
Christ College ATM,24-06-2011,84,49,35,285800,143600,142200,Friday,NH,W,WWH
Christ College ATM,25-06-2011,73,40,33,299700,159600,140100,Saturday,NH,H,WHH
Christ College ATM,26-06-2011,33,19,14,87300,57000,30300,Sunday,NH,H,HHW
Christ College ATM,27-06-2011,84,45,39,339400,186700,152700,Monday,NH,W,HWW
Christ College ATM,28-06-2011,73,40,33,266300,142100,124200,Tuesday,NH,W,WWW
Christ College ATM,29-06-2011,74,51,23,247200,138000,109200,Wednesday,NH,W,WWW
