ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence
Christ College ATM,30-03-2014,111,64,47,439800,331500,108300,SUNDAY,NH,H,HHH
Christ College ATM,31-03-2014,105,41,64,581100,222300,358800,MONDAY,H,H,HHW
Christ College ATM,02-04-2014,138,68,70,820300,495800,324500,WEDNESDAY,NH,W,WWW
Christ College ATM,03-04-2014,235,81,154,1153500,482100,671400,THURSDAY,NH,W,WWW
Christ College ATM,04-04-2014,131,49,82,605800,224000,381800,FRIDAY,NH,W,WWH
Christ College ATM,05-04-2014,140,71,69,831700,456100,375600,SATURDAY,NH,H,WHH
Christ College ATM,06-04-2014,186,59,127,735300,243700,491600,SUNDAY,NH,H,HHW
Christ College ATM,07-04-2014,227,73,154,1154300,440200,714100,MONDAY,NH,W,HWW
Christ College ATM,08-04-2014,248,75,173,1163100,468600,694500,TUESDAY,NH,W,WWW
Christ College ATM,09-04-2014,160,59,101,803400,366600,436800,WEDNESDAY,NH,W,WWW
Christ College ATM,10-04-2014,166,63,103,910400,505300,405100,THURSDAY,NH,W,WWW
Christ College ATM,11-04-2014,157,46,111,916200,323000,593200,FRIDAY,NH,W,WWH
Christ College ATM,12-04-2014,215,75,140,915700,401300,514400,SATURDAY,NH,H,WHH
Christ College ATM,13-04-2014,117,12,105,458200,49300,408900,SUNDAY,H,H,HHH
Christ College ATM,14-04-2014,71,0,71,314100,0,314100,MONDAY,H,H,HHW
Christ College ATM,15-04-2014,137,34,103,449100,151300,297800,TUESDAY,NH,W,HWW
Christ College ATM,16-04-2014,180,81,99,1102200,589700,512500,WEDNESDAY,NH,W,WWW
Christ College ATM,17-04-2014,157,71,86,770000,471800,298200,THURSDAY,NH,W,WWH
Christ College ATM,18-04-2014,91,33,58,457600,176100,281500,FRIDAY,C,H,WHH
Christ College ATM,19-04-2014,111,57,54,630200,456900,173300,SATURDAY,NH,H,HHH
Christ College ATM,20-04-2014,64,33,31,214700,150200,64500,SUNDAY,NH,H,HHW
Christ College ATM,21-04-2014,109,59,50,469100,308000,161100,MONDAY,NH,W,HWW
Christ College ATM,22-04-2014,125,43,82,510700,190800,319900,TUESDAY,NH,W,WWW
Christ College ATM,23-04-2014,108,58,50,618700,450800,167900,WEDNESDAY,NH,W,WWW
Christ College ATM,24-04-2014,54,35,19,143400,83300,60100,THURSDAY,NH,W,WWW
Christ College ATM,25-04-2014,116,50,66,502200,262100,240100,FRIDAY,NH,W,WWH
Christ College ATM,26-04-2014,118,59,59,619000,373900,245100,SATURDAY,NH,H,WHH
Christ College ATM,27-04-2014,68,29,39,248300,84200,164100,SUNDAY,NH,H,HHW
Christ College ATM,28-04-2014,117,71,46,703700,489100,214600,MONDAY,NH,W,HWW
Christ College ATM,29-04-2014,100,51,49,419900,208300,211600,TUESDAY,NH,W,WWW
Christ College ATM,30-04-2014,169,70,99,880100,406300,473800,WEDNESDAY,NH,W,WWH
Christ College ATM,01-05-2014,80,39,41,478600,211700,266900,THURSDAY,N,H,WHW
Christ College ATM,02-05-2014,138,66,72,718600,376200,342400,FRIDAY,NH,W,HWH
Christ College ATM,03-05-2014,155,75,80,797800,426900,370900,SATURDAY,NH,H,WHH
Christ College ATM,04-05-2014,112,41,71,533700,200200,333500,SUNDAY,NH,H,HHW
Christ College ATM,05-05-2014,129,43,86,676900,286800,390100,MONDAY,NH,W,HWW
Christ College ATM,06-05-2014,152,67,85,821400,329500,491900,TUESDAY,NH,W,WWW
Christ College ATM,07-05-2014,139,50,89,626000,210700,415300,WEDNESDAY,NH,W,WWW
Christ College ATM,08-05-2014,130,53,77,684200,367700,316500,THURSDAY,NH,W,WWW
Christ College ATM,09-05-2014,138,63,75,675100,283700,391400,FRIDAY,NH,W,WWH
Christ College ATM,10-05-2014,113,51,62,619400,333000,286400,SATURDAY,NH,H,WHH
Christ College ATM,11-05-2014,60,39,21,254600,206200,48400,SUNDAY,NH,H,HHW
Christ College ATM,12-05-2014,117,57,60,570800,324400,246400,MONDAY,NH,W,HWW
Christ College ATM,13-05-2014,138,47,91,684000,289700,394300,TUESDAY,NH,W,WWW
Christ College ATM,14-05-2014,147,36,111,689300,204200,485100,WEDNESDAY,NH,W,WWW
Christ College ATM,15-05-2014,175,72,103,901200,423400,477800,THURSDAY,NH,W,WWW
Christ College ATM,16-05-2014,152,46,106,591000,210800,380200,FRIDAY,NH,W,WWH
Christ College ATM,17-05-2014,161,52,109,782600,272800,509800,SATURDAY,NH,H,WHH
Christ College ATM,18-05-2014,141,33,108,477200,75300,401900,SUNDAY,NH,H,HHW
Christ College ATM,19-05-2014,206,67,139,861200,379500,481700,MONDAY,NH,W,HWW
Christ College ATM,20-05-2014,171,59,112,881000,386000,495000,TUESDAY,NH,W,WWW
Christ College ATM,21-05-2014,160,46,114,827000,263500,563500,WEDNESDAY,NH,W,WWW
Christ College ATM,22-05-2014,181,58,123,882000,286800,595200,THURSDAY,NH,W,WWW
Christ College ATM,23-05-2014,143,55,88,627800,263000,364800,FRIDAY,NH,W,WWH
Christ College ATM,24-05-2014,143,54,89,619000,267600,351400,SATURDAY,NH,H,WHH
Christ College ATM,25-05-2014,101,39,62,368900,152100,216800,SUNDAY,NH,H,HHW
Christ College ATM,26-05-2014,207,77,130,1085600,466400,619200,MONDAY,NH,W,HWW
Christ College ATM,27-05-2014,152,60,92,574300,261200,313100,TUESDAY,NH,W,WWW
Christ College ATM,28-05-2014,138,50,88,733600,273800,459800,WEDNESDAY,NH,W,WWW
Christ College ATM,29-05-2014,297,60,237,1269500,322900,946600,THURSDAY,NH,W,WWW
Christ College ATM,30-05-2014,124,47,77,676300,271500,404800,FRIDAY,NH,W,WWH
Christ College ATM,31-05-2014,219,53,166,1025200,246000,779200,SATURDAY,NH,H,WHH
Christ College ATM,01-06-2014,240,46,194,934400,226200,708200,SUNDAY,NH,H,HHW
Christ College ATM,02-06-2014,170,37,133,951900,245400,706500,MONDAY,NH,W,HWW
Christ College ATM,03-06-2014,191,56,135,1082200,352200,730000,TUESDAY,NH,W,WWW
Christ College ATM,04-06-2014,212,57,155,1238700,381600,857100,WEDNESDAY,NH,W,WWW
Christ College ATM,05-06-2014,225,68,157,1132200,432900,699300,THURSDAY,NH,W,WWW
Christ College ATM,06-06-2014,197,57,140,1091900,392900,699000,FRIDAY,NH,W,WWH
Christ College ATM,07-06-2014,201,75,126,1221000,564800,656200,SATURDAY,NH,H,WHH
Christ College ATM,08-06-2014,105,41,64,569700,280200,289500,SUNDAY,NH,H,HHW
Christ College ATM,09-06-2014,178,48,130,844400,225800,618600,MONDAY,NH,W,HWW
Christ College ATM,10-06-2014,124,51,73,617600,293500,324100,TUESDAY,NH,W,WWW
Christ College ATM,11-06-2014,169,62,107,839200,327000,512200,WEDNESDAY,NH,W,WWW
Christ College ATM,12-06-2014,111,56,55,466200,262200,204000,THURSDAY,NH,W,WWW
Christ College ATM,13-06-2014,74,30,44,396000,183600,212400,FRIDAY,NH,W,WWH
Christ College ATM,14-06-2014,128,58,70,453400,183800,269600,SATURDAY,NH,H,WHH
Christ College ATM,15-06-2014,129,39,90,400700,148200,252500,SUNDAY,NH,H,HHW
Christ College ATM,16-06-2014,228,58,170,972000,367500,604500,MONDAY,NH,W,HWW
Christ College ATM,17-06-2014,148,59,89,626200,247900,378300,TUESDAY,NH,W,WWW
Christ College ATM,18-06-2014,122,53,69,580800,309000,271800,WEDNESDAY,NH,W,WWW
Christ College ATM,19-06-2014,114,52,62,471700,246500,225200,THURSDAY,NH,W,WWW
Christ College ATM,20-06-2014,127,59,68,560600,369800,190800,FRIDAY,NH,W,WWH
Christ College ATM,21-06-2014,134,58,76,714800,376500,338300,SATURDAY,NH,H,WHH
Christ College ATM,22-06-2014,96,40,56,380100,188500,191600,SUNDAY,NH,H,HHW
Christ College ATM,23-06-2014,100,46,54,402300,226800,175500,MONDAY,NH,W,HWW
Christ College ATM,24-06-2014,111,43,68,413900,150800,263100,TUESDAY,NH,W,WWW
Christ College ATM,25-06-2014,78,39,39,346200,252200,94000,WEDNESDAY,NH,W,WWW
Christ College ATM,26-06-2014,106,45,61,621800,360500,261300,THURSDAY,NH,W,WWW
Christ College ATM,27-06-2014,100,43,57,339400,185700,153700,FRIDAY,NH,W,WWH
Christ College ATM,28-06-2014,121,55,66,536200,293300,242900,SATURDAY,NH,H,WHH
Christ College ATM,29-06-2014,84,29,55,347100,133400,213700,SUNDAY,NH,H,HHW
Christ College ATM,30-06-2014,133,60,73,627400,288500,338900,MONDAY,NH,W,HWW
Christ College ATM,01-07-2014,247,56,191,1208500,210800,997700,TUESDAY,NH,W,WWW
Christ College ATM,02-07-2014,139,43,96,650500,198600,451900,WEDNESDAY,NH,W,WWW
Christ College ATM,03-07-2014,271,63,208,1330000,339200,990800,THURSDAY,NH,W,WWW
Christ College ATM,04-07-2014,173,51,122,799900,293300,506600,FRIDAY,NH,W,WWH
Christ College ATM,05-07-2014,192,52,140,1076100,389600,686500,SATURDAY,NH,H,WHH
Christ College ATM,06-07-2014,156,34,122,735600,162300,573300,SUNDAY,NH,H,HHW
Christ College ATM,07-07-2014,260,80,180,1273700,399000,874700,MONDAY,NH,W,HWW
Christ College ATM,08-07-2014,187,84,103,872500,486500,386000,TUESDAY,NH,W,WWW
Christ College ATM,09-07-2014,160,47,113,726200,239000,487200,WEDNESDAY,NH,W,WWW
Christ College ATM,10-07-2014,123,49,74,471200,253400,217800,THURSDAY,NH,W,WWW
Christ College ATM,11-07-2014,165,60,105,721000,343700,377300,FRIDAY,NH,W,WWH
Christ College ATM,12-07-2014,183,53,130,956700,253700,703000,SATURDAY,NH,H,WHH
Christ College ATM,13-07-2014,78,31,47,200500,103900,96600,SUNDAY,NH,H,HHW
Christ College ATM,14-07-2014,193,66,127,854000,356200,497800,MONDAY,NH,W,HWW
Christ College ATM,15-07-2014,156,55,101,818300,318900,499400,TUESDAY,NH,W,WWW
Christ College ATM,16-07-2014,138,71,67,641400,378000,263400,WEDNESDAY,NH,W,WWW
Christ College ATM,17-07-2014,107,56,51,548900,321500,227400,THURSDAY,NH,W,WWW
Christ College ATM,18-07-2014,116,52,64,553300,333800,219500,FRIDAY,NH,W,WWH
Christ College ATM,19-07-2014,158,75,83,862600,535100,327500,SATURDAY,NH,H,WHH
Christ College ATM,20-07-2014,115,26,89,424000,115000,309000,SUNDAY,NH,H,HHW
Christ College ATM,21-07-2014,91,40,51,483000,273000,210000,MONDAY,NH,W,HWW
Christ College ATM,22-07-2014,95,50,45,436000,282200,153800,TUESDAY,NH,W,WWW
Christ College ATM,23-07-2014,105,51,54,472200,327400,144800,WEDNESDAY,NH,W,WWW
Christ College ATM,24-07-2014,119,47,72,470000,234400,235600,THURSDAY,NH,W,WWW
Christ College ATM,25-07-2014,119,57,62,504600,303600,201000,FRIDAY,NH,W,WWH
Christ College ATM,26-07-2014,120,50,70,369300,171300,198000,SATURDAY,NH,H,WHH
Christ College ATM,27-07-2014,60,27,33,167700,83200,84500,SUNDAY,NH,H,HHW
Christ College ATM,28-07-2014,119,64,55,496100,330200,165900,MONDAY,NH,W,HWH
Christ College ATM,29-07-2014,75,36,39,231100,175000,56100,TUESDAY,M,H,WHW
Christ College ATM,30-07-2014,100,36,64,386800,156100,230700,WEDNESDAY,NH,W,HWW
Christ College ATM,31-07-2014,157,60,97,735500,323000,412500,THURSDAY,NH,W,WWW
Christ College ATM,01-08-2014,174,52,122,865300,220900,644400,FRIDAY,NH,W,WWH
Christ College ATM,02-08-2014,223,83,140,1162600,494700,667900,SATURDAY,NH,H,WHH
Christ College ATM,03-08-2014,191,49,142,877900,300600,577300,SUNDAY,NH,H,HHW
Christ College ATM,04-08-2014,228,73,155,1230000,400900,829100,MONDAY,NH,W,HWW
Christ College ATM,05-08-2014,167,64,103,781900,339400,442500,TUESDAY,NH,W,WWW
Christ College ATM,06-08-2014,159,65,94,687400,332200,355200,WEDNESDAY,NH,W,WWW
Christ College ATM,07-08-2014,202,58,144,1025400,430300,595100,THURSDAY,NH,W,WWW
Christ College ATM,08-08-2014,167,59,108,661600,327900,333700,FRIDAY,NH,W,WWH
Christ College ATM,09-08-2014,160,76,84,822000,458400,363600,SATURDAY,NH,H,WHH
Christ College ATM,10-08-2014,173,53,120,638900,210900,428000,SUNDAY,NH,H,HHW
Christ College ATM,11-08-2014,182,54,128,596800,237600,359200,MONDAY,NH,W,HWW
Christ College ATM,12-08-2014,130,46,84,466700,123100,343600,TUESDAY,NH,W,WWW
Christ College ATM,13-08-2014,158,43,115,535300,208800,326500,WEDNESDAY,NH,W,WWW
Christ College ATM,14-08-2014,212,66,146,905200,428100,477100,THURSDAY,NH,W,WWH
Christ College ATM,15-08-2014,100,32,68,365300,134900,230400,FRIDAY,N,H,WHH
Christ College ATM,16-08-2014,186,80,106,991500,533000,458500,SATURDAY,NH,H,HHH
Christ College ATM,17-08-2014,136,44,92,463400,178200,285200,SUNDAY,H,H,HHW
Christ College ATM,18-08-2014,164,49,115,592600,243700,348900,MONDAY,NH,W,HWW
Christ College ATM,19-08-2014,142,57,85,441500,234700,206800,TUESDAY,NH,W,WWW
Christ College ATM,20-08-2014,125,46,79,593100,296900,296200,WEDNESDAY,NH,W,WWW
Christ College ATM,21-08-2014,140,52,88,707900,430200,277700,THURSDAY,NH,W,WWW
Christ College ATM,22-08-2014,155,54,101,609800,211800,398000,FRIDAY,NH,W,WWH
Christ College ATM,23-08-2014,221,65,156,785100,330700,454400,SATURDAY,NH,H,WHH
Christ College ATM,24-08-2014,125,34,91,361800,120300,241500,SUNDAY,NH,H,HHW
Christ College ATM,25-08-2014,137,46,91,570700,222100,348600,MONDAY,NH,W,HWW
Christ College ATM,26-08-2014,127,53,74,635500,347700,287800,TUESDAY,NH,W,WWW
Christ College ATM,27-08-2014,147,52,95,635500,336900,298600,WEDNESDAY,NH,W,WWW
Christ College ATM,28-08-2014,237,65,172,974000,346100,627900,THURSDAY,NH,W,WWH
Christ College ATM,29-08-2014,112,27,85,502800,195000,307800,FRIDAY,H,H,WHH
Christ College ATM,30-08-2014,269,64,205,1220000,280400,939600,SATURDAY,NH,H,HHH
Christ College ATM,31-08-2014,186,27,159,599400,71500,527900,SUNDAY,NH,H,HHW
Christ College ATM,01-09-2014,215,54,161,957100,219800,737300,MONDAY,NH,W,HWW
Christ College ATM,02-09-2014,173,64,109,845300,341400,503900,TUESDAY,NH,W,WWW
Christ College ATM,03-09-2014,191,62,129,904100,349000,555100,WEDNESDAY,NH,W,WWW
Christ College ATM,04-09-2014,250,81,169,1212100,427300,784800,THURSDAY,NH,W,WWW
Christ College ATM,05-09-2014,158,52,106,778400,291500,486900,FRIDAY,NH,W,WWH
Christ College ATM,06-09-2014,231,69,162,1107800,446600,661200,SATURDAY,NH,H,WHH
Christ College ATM,07-09-2014,259,42,217,921600,129300,792300,SUNDAY,NH,H,HHW
Christ College ATM,08-09-2014,251,57,194,1103600,316400,787200,MONDAY,NH,W,HWW
Christ College ATM,09-09-2014,164,50,114,668100,214900,453200,TUESDAY,NH,W,WWW
Christ College ATM,10-09-2014,130,65,65,622700,408200,214500,WEDNESDAY,NH,W,WWW
Christ College ATM,11-09-2014,120,46,74,483400,249700,233700,THURSDAY,NH,W,WWW
Christ College ATM,12-09-2014,167,47,120,684600,258700,425900,FRIDAY,NH,W,WWH
Christ College ATM,13-09-2014,186,66,120,888800,471700,417100,SATURDAY,NH,H,WHH
Christ College ATM,14-09-2014,155,50,105,569900,264200,305700,SUNDAY,NH,H,HHW
Christ College ATM,15-09-2014,197,56,141,844000,292600,551400,MONDAY,NH,W,HWW
Christ College ATM,16-09-2014,111,33,78,373800,136800,237000,TUESDAY,NH,W,WWW
Christ College ATM,17-09-2014,151,69,82,747300,447100,300200,WEDNESDAY,NH,W,WWW
Christ College ATM,18-09-2014,160,49,111,556200,220900,335300,THURSDAY,NH,W,WWW
Christ College ATM,19-09-2014,122,56,66,624100,390700,233400,FRIDAY,NH,W,WWH
Christ College ATM,20-09-2014,151,57,94,762000,387200,374800,SATURDAY,NH,H,WHH
Christ College ATM,21-09-2014,75,20,55,169600,52400,117200,SUNDAY,NH,H,HHW
Christ College ATM,22-09-2014,144,58,86,497000,250100,246900,MONDAY,NH,W,HWW
Christ College ATM,23-09-2014,97,39,58,384400,225200,159200,TUESDAY,NH,W,WWW
Christ College ATM,24-09-2014,103,51,52,394100,250400,143700,WEDNESDAY,NH,W,WWW
Christ College ATM,25-09-2014,113,43,70,405800,189500,216300,THURSDAY,NH,W,WWW
Christ College ATM,26-09-2014,99,40,59,348100,173200,174900,FRIDAY,NH,W,WWH
Christ College ATM,27-09-2014,124,39,85,514900,263100,251800,SATURDAY,NH,H,WHH
Christ College ATM,28-09-2014,223,52,171,823700,256000,567700,SUNDAY,NH,H,HHW
Christ College ATM,29-09-2014,265,53,212,1123200,282900,840300,MONDAY,NH,W,HWW
Christ College ATM,30-09-2014,265,54,211,1065000,270000,795000,TUESDAY,NH,W,WWW
Christ College ATM,01-10-2014,266,55,211,1314700,345500,969200,WEDNESDAY,NH,W,WWH
Christ College ATM,02-10-2014,209,46,163,906200,184100,722100,THURSDAY,N,H,WHH
Christ College ATM,03-10-2014,18,0,18,81300,0,81300,FRIDAY,H,H,HHH
Christ College ATM,04-10-2014,156,62,94,764900,343100,421800,SATURDAY,NH,H,HHH
Christ College ATM,05-10-2014,203,39,164,831600,190500,641100,SUNDAY,M,H,HHW
Christ College ATM,06-10-2014,221,49,172,947500,226500,721000,MONDAY,NH,W,HWW
Christ College ATM,07-10-2014,290,58,232,1391800,307600,1084200,TUESDAY,NH,W,WWW
Christ College ATM,08-10-2014,340,69,271,1699000,367600,1331400,WEDNESDAY,NH,W,WWW
Christ College ATM,09-10-2014,266,67,199,1194100,357100,837000,THURSDAY,NH,W,WWW
Christ College ATM,10-10-2014,274,64,210,1205800,240800,965000,FRIDAY,NH,W,WWH
Christ College ATM,11-10-2014,247,67,180,1339400,458500,880900,SATURDAY,NH,H,WHH
Christ College ATM,12-10-2014,125,44,81,405200,190000,215200,SUNDAY,NH,H,HHW
Christ College ATM,13-10-2014,199,52,147,874400,244300,630100,MONDAY,NH,W,HWW
Christ College ATM,14-10-2014,108,48,60,587400,376300,211100,TUESDAY,NH,W,WWW
Christ College ATM,15-10-2014,107,46,61,518800,318500,200300,WEDNESDAY,NH,W,WWW
Christ College ATM,16-10-2014,134,54,80,660300,360800,299500,THURSDAY,NH,W,WWW
Christ College ATM,17-10-2014,189,63,126,824600,402400,422200,FRIDAY,NH,W,WWH
Christ College ATM,18-10-2014,235,73,162,1203400,487300,716100,SATURDAY,NH,H,WHH
Christ College ATM,19-10-2014,166,37,129,680100,208500,471600,SUNDAY,NH,H,HHW
Christ College ATM,20-10-2014,261,80,181,1235000,534600,700400,MONDAY,NH,W,HWW
Christ College ATM,21-10-2014,262,60,202,1203800,350900,852900,TUESDAY,NH,W,WWH
Christ College ATM,22-10-2014,123,25,98,356700,73700,283000,WEDNESDAY,H,H,WHW
Christ College ATM,23-10-2014,115,38,77,540600,237900,302700,THURSDAY,NH,W,HWW
Christ College ATM,24-10-2014,181,42,139,648900,272200,376700,FRIDAY,NH,W,WWH
Christ College ATM,25-10-2014,178,55,123,767500,360500,407000,SATURDAY,NH,H,WHH
Christ College ATM,26-10-2014,153,48,105,531400,235500,295900,SUNDAY,NH,H,HHW
Christ College ATM,27-10-2014,126,50,76,537900,249500,288400,MONDAY,NH,W,HWW
Christ College ATM,28-10-2014,114,51,63,333500,144800,188700,TUESDAY,NH,W,WWW
Christ College ATM,29-10-2014,110,41,69,481600,220000,261600,WEDNESDAY,NH,W,WWW
Christ College ATM,30-10-2014,117,47,70,465100,212300,252800,THURSDAY,NH,W,WWW
Christ College ATM,31-10-2014,104,32,72,510900,202800,308100,FRIDAY,NH,W,WWH
Christ College ATM,01-11-2014,178,61,117,800000,216100,583900,SATURDAY,NH,H,WHH
Christ College ATM,02-11-2014,172,38,134,888700,142000,746700,SUNDAY,NH,H,HHW
Christ College ATM,03-11-2014,271,55,216,1178000,221800,956200,MONDAY,NH,W,HWH
Christ College ATM,04-11-2014,142,63,79,592700,257300,335400,TUESDAY,M,H,WHW
Christ College ATM,05-11-2014,194,74,120,929900,403900,526000,WEDNESDAY,NH,W,HWW
Christ College ATM,06-11-2014,164,72,92,804800,415000,389800,THURSDAY,NH,W,WWW
Christ College ATM,07-11-2014,158,62,96,786200,339900,446300,FRIDAY,NH,W,WWH
Christ College ATM,08-11-2014,262,77,185,1292800,514700,778100,SATURDAY,NH,H,WHH
Christ College ATM,09-11-2014,82,13,69,311500,47500,264000,SUNDAY,NH,H,HHW
Christ College ATM,10-11-2014,184,54,130,780000,296100,483900,MONDAY,NH,W,HWW
Christ College ATM,11-11-2014,193,72,121,987100,522200,464900,TUESDAY,NH,W,WWW
Christ College ATM,12-11-2014,183,47,136,856000,284600,571400,WEDNESDAY,NH,W,WWW
Christ College ATM,13-11-2014,122,48,74,623800,308700,315100,THURSDAY,NH,W,WWW
Christ College ATM,14-11-2014,108,43,65,486200,201500,284700,FRIDAY,NH,W,WWH
Christ College ATM,15-11-2014,132,47,85,710700,281300,429400,SATURDAY,NH,H,WHH
Christ College ATM,16-11-2014,120,34,86,416300,137300,279000,SUNDAY,NH,H,HHW
Christ College ATM,17-11-2014,177,55,122,690500,239400,451100,MONDAY,NH,W,HWW
Christ College ATM,18-11-2014,157,59,98,674600,335500,339100,TUESDAY,NH,W,WWW
Christ College ATM,19-11-2014,150,52,98,485400,205400,280000,WEDNESDAY,NH,W,WWW
Christ College ATM,20-11-2014,154,62,92,641300,338700,302600,THURSDAY,NH,W,WWW
Christ College ATM,21-11-2014,86,43,43,392600,255900,136700,FRIDAY,NH,W,WWH
Christ College ATM,22-11-2014,131,62,69,662600,394500,268100,SATURDAY,NH,H,WHH
Christ College ATM,23-11-2014,88,38,50,277900,159500,118400,SUNDAY,NH,H,HHW
Christ College ATM,24-11-2014,110,57,53,439700,251900,187800,MONDAY,NH,W,HWW
Christ College ATM,25-11-2014,131,55,76,495300,292000,203300,TUESDAY,NH,W,WWW
Christ College ATM,26-11-2014,115,33,82,479300,136800,342500,WEDNESDAY,NH,W,WWW
Christ College ATM,27-11-2014,97,44,53,481200,263600,217600,THURSDAY,NH,W,WWW
Christ College ATM,28-11-2014,101,35,66,517600,187100,330500,FRIDAY,NH,W,WWH
Christ College ATM,29-11-2014,202,59,143,990900,342400,648500,SATURDAY,NH,H,WHH
Christ College ATM,30-11-2014,163,50,113,726600,273500,453100,SUNDAY,NH,H,HHW
Christ College ATM,01-12-2014,183,61,122,1004600,334600,670000,MONDAY,NH,W,HWW
Christ College ATM,02-12-2014,149,57,92,848500,288100,560400,TUESDAY,NH,W,WWW
Christ College ATM,03-12-2014,179,73,106,1039900,484000,555900,WEDNESDAY,NH,W,WWW
Christ College ATM,04-12-2014,159,71,88,725900,368000,357900,THURSDAY,NH,W,WWW
Christ College ATM,05-12-2014,172,77,95,844200,379300,464900,FRIDAY,NH,W,WWH
Christ College ATM,06-12-2014,193,88,105,958800,471000,487800,SATURDAY,NH,H,WHH
Christ College ATM,07-12-2014,124,45,79,447000,153400,293600,SUNDAY,NH,H,HHW
Christ College ATM,08-12-2014,124,45,79,526100,230700,295400,MONDAY,NH,W,HWW
Christ College ATM,09-12-2014,166,57,109,742500,266100,476400,TUESDAY,NH,W,WWW
Christ College ATM,10-12-2014,141,53,88,627600,278900,348700,WEDNESDAY,NH,W,WWW
Christ College ATM,11-12-2014,125,62,63,514400,286400,228000,THURSDAY,NH,W,WWW
Christ College ATM,12-12-2014,107,46,61,456600,259500,197100,FRIDAY,NH,W,WWH
Christ College ATM,13-12-2014,117,55,62,531500,332700,198800,SATURDAY,NH,H,WHH
Christ College ATM,14-12-2014,77,29,48,265200,117700,147500,SUNDAY,NH,H,HHW
Christ College ATM,15-12-2014,119,56,63,500500,240900,259600,MONDAY,NH,W,HWW
Christ College ATM,16-12-2014,102,52,50,369900,188600,181300,TUESDAY,NH,W,WWW
Christ College ATM,17-12-2014,114,50,64,553000,341600,211400,WEDNESDAY,NH,W,WWW
Christ College ATM,18-12-2014,123,50,73,435500,236700,198800,THURSDAY,NH,W,WWW
Christ College ATM,19-12-2014,99,45,54,337100,206300,130800,FRIDAY,NH,W,WWH
Christ College ATM,20-12-2014,115,61,54,502100,281700,220400,SATURDAY,NH,H,WHH
Christ College ATM,21-12-2014,132,54,78,416900,171500,245400,SUNDAY,NH,H,HHW
Christ College ATM,22-12-2014,148,55,93,556300,277900,278400,MONDAY,NH,W,HWW
Christ College ATM,23-12-2014,93,39,54,320200,186000,134200,TUESDAY,NH,W,WWW
Christ College ATM,24-12-2014,176,53,123,760900,299600,461300,WEDNESDAY,NH,W,WWH
Christ College ATM,25-12-2014,163,49,114,433900,163800,270100,THURSDAY,C,H,WHW
Christ College ATM,26-12-2014,91,40,51,288400,155000,133400,FRIDAY,NH,W,HWH
Christ College ATM,27-12-2014,114,51,63,487700,278700,209000,SATURDAY,NH,H,WHH
Christ College ATM,28-12-2014,86,29,57,317000,116800,200200,SUNDAY,NH,H,HHW
Christ College ATM,29-12-2014,113,67,46,512300,330400,181900,MONDAY,NH,W,HWW
Christ College ATM,30-12-2014,110,50,60,557400,271900,285500,TUESDAY,NH,W,WWW
Christ College ATM,31-12-2014,165,75,90,698100,397400,300700,WEDNESDAY,NH,W,WWH
Christ College ATM,01-01-2015,134,54,80,722600,270800,451800,Thursday,C,H,WHW
Christ College ATM,02-01-2015,186,64,122,832900,306300,526600,Friday,NH,W,HWH
Christ College ATM,03-01-2015,169,89,80,877200,453400,423800,Saturday,NH,H,WHH
Christ College ATM,04-01-2015,55,18,37,198700,57000,141700,Sunday,M,H,HHW
Christ College ATM,05-01-2015,211,84,127,1153800,467900,685900,Monday,NH,W,HWW
Christ College ATM,06-01-2015,152,70,82,607900,309300,298600,Tuesday,NH,W,WWW
Christ College ATM,07-01-2015,128,60,68,563900,282600,281300,Wednesday,NH,W,WWW
Christ College ATM,08-01-2015,143,76,67,770200,473800,296400,Thursday,NH,W,WWW
Christ College ATM,09-01-2015,131,78,53,697000,410200,286800,Friday,NH,W,WWH
Christ College ATM,10-01-2015,219,73,146,1066100,504100,562000,Saturday,NH,H,WHH
Christ College ATM,11-01-2015,158,50,108,492000,162800,329200,Sunday,NH,H,HHW
Christ College ATM,12-01-2015,137,62,75,564300,357400,206900,Monday,NH,W,HWW
Christ College ATM,13-01-2015,135,79,56,765000,544400,220600,Tuesday,NH,W,WWW
Christ College ATM,14-01-2015,141,90,51,678400,551300,127100,Wednesday,NH,W,WWH
Christ College ATM,15-01-2015,70,33,37,176800,82100,94700,Thursday,H,H,WHH
Christ College ATM,16-01-2015,53,25,28,235800,146100,89700,Friday,N,H,HHH
Christ College ATM,17-01-2015,97,41,56,236000,106600,129400,Saturday,H,H,HHH
Christ College ATM,18-01-2015,100,49,51,375000,260400,114600,Sunday,NH,H,HHW
Christ College ATM,19-01-2015,168,81,87,811100,455400,355700,Monday,NH,W,HWW
Christ College ATM,20-01-2015,133,57,76,501600,169200,332400,Tuesday,NH,W,WWW
Christ College ATM,21-01-2015,98,54,44,391400,249200,142200,Wednesday,NH,W,WWW
Christ College ATM,22-01-2015,129,66,63,602900,390000,212900,Thursday,NH,W,WWW
Christ College ATM,23-01-2015,112,52,60,540100,341200,198900,Friday,NH,W,WWH
Christ College ATM,24-01-2015,146,63,83,691700,386800,304900,Saturday,NH,H,WHH
Christ College ATM,25-01-2015,94,40,54,329200,134600,194600,Sunday,NH,H,HHH
